Node_ID,Area,SI,SubfaceArea,SubRes,SubSHGC,Res,Thickness,ThermalAbsorptance,SolarAbsorptance,VisiblAbsorptance,exterior,interior,ground,roof,Outdoors,Surface,Ground,NoSubface,Window,Door,Window&Door,NoDirection,East,South,West,North
0,-1.0385933305425017,1.9114447212571881,0.0,0.0,0.0,-4.342699383269064,-0.2820423202975538,0.20954258457057526,-0.011220440800722523,-0.21920444134517914,1.1998709673283279,0.0,0.0,0.0,0.3223028989153439,0.0,0.0,1.6699835636003022,0.0,0.0,0.0,0.0,-0.7247893187017478,0.0,0.0,0.0
1,0.748673392291721,-1.771477035139052,0.0,0.0,0.0,-0.6031735602800836,-0.35799663848403424,0.037836771018457206,-0.030224999603471282,0.11063840569496128,-0.13584365196720682,0.0,0.0,0.0,-0.49373381083512413,0.0,0.0,-0.6836021777453046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.731282501192292
2,4.267353376553729,3.902417539995895,0.0,0.0,0.0,-2.568765781188631,-1.2581552540837038,0.09464634391633808,0.9094899752653873,0.13194438135997189,0.0,-0.9314039246532957,0.0,0.0,0.0,-0.9599280062502658,0.0,1.3108094592780617,0.0,0.0,0.0,-0.1540398127303888,0.0,0.0,0.0,0.0
3,1.5212669560393501,12.288111453068874,1.722315881747818,0.3094532924440803,0.0,0.6961811546648278,0.6574324930431885,0.2123710667535761,-0.5337834359363569,0.3847021978837498,0.0,-4.567438014565066,0.0,0.0,0.0,-4.724030221069976,0.0,0.0,0.0,-3.4865511814935717,0.0,-1.713799042172847,0.0,0.0,0.0,0.0
4,0.12527746315318683,0.028548142189682345,0.0,0.0,0.0,-0.00034898199752812314,-4.244375645612308e-05,-0.09844357712703791,-0.0006720261438886155,3.06538241072e-05,0.0,0.0,0.024376864124633357,0.0,0.0,0.0,0.02191512625017822,-0.022136776978337974,0.0,0.0,0.0,0.015574500632927387,0.0,0.0,0.0,0.0
5,-9.10805095181407,0.30054570155812144,0.0,0.0,0.0,-1.3885412185129553,-0.7617683962052979,0.824381677935359,0.1488190322985853,-0.024606080829319883,0.0,0.0,0.0,0.776823133274623,0.4848931336387826,0.0,0.0,-0.5212044837086676,0.0,0.0,0.0,1.4831904869155703,0.0,0.0,0.0,0.0
6,-0.022289636219549415,0.29622284695506096,0.0,0.0,0.0,0.11605556973904638,0.07621024599548794,0.14498358213700158,-0.03413204129496231,-0.09461268054906213,-0.10765439280514026,0.0,0.0,0.0,-0.4633001985610008,0.0,0.0,0.30406354364875676,0.0,0.0,0.0,0.0,0.0,-0.29099169804643077,0.0,0.0
7,0.3839777585524946,-1.4438315612725698,-0.06557972872315077,1.1166977255644877,0.0,-3.0346286100833213,-0.8537159771519025,-0.009616184759124735,0.2875337818219729,0.08212337355265238,2.2232761927239153,0.0,0.0,0.0,0.6228323668377319,0.0,0.0,0.0,0.0,-4.180293860044155,0.0,0.0,-2.9910141644685004,0.0,0.0,0.0
8,1.269470368513339,10.254117828540075,1.4372289881043798,0.25823093607755254,0.0,0.5809455437645283,0.5486281933457349,0.17720085075950462,-0.4454287599781992,0.32098938919602915,0.0,-3.81139393279625,0.0,0.0,0.0,-3.942083590097809,0.0,0.0,0.0,-2.909438668978055,0.0,-1.4301741805041956,0.0,0.0,0.0,0.0
9,0.04521973816584553,0.5116886445936567,0.0,0.0,0.0,-0.2413701525063061,-0.0023918756596685853,0.021550135283708492,-0.12813809436768983,0.0009534282143401169,0.0,0.04302054137876136,0.0,0.0,0.0,0.07374949950644805,0.0,-0.19114740775232045,0.0,0.0,0.0,0.3349124230965117,0.0,0.0,0.0,0.0
10,-2.995747773754829,1.522069091963279,0.0,0.0,0.0,1.4116639062622955,1.1008634366741412,-2.5935377457733466,-0.5003367296012584,0.5431412726079543,0.0,0.0,0.25531582416950493,0.0,0.0,0.0,0.30716750987873337,0.5001650454293365,0.0,0.0,0.0,0.8973287850718256,0.0,0.0,0.0,0.0
11,1.6951968822875567,-2.83878874812918,0.0,0.0,0.0,-3.063187005600412,-1.6915915649029027,-1.1167684184118798,4.813856223856115,-0.05161641200383352,0.0,0.0,0.0,2.273004525318167,0.46885358472138705,0.0,0.0,-2.184024950528662,0.0,0.0,0.0,-0.34973572092572647,0.0,0.0,0.0,0.0
12,29.099078091677292,-27.105298371785125,0.0,0.0,0.0,-2.89100885361582,-1.8450463651091316,1.5726625324500296,4.7817490965024945,0.9854834705837827,6.019390477089057,0.0,0.0,0.0,-0.10082527727358108,0.0,0.0,-4.205209373039528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2098411931336086
13,4.47740512385811,-12.290151448845185,6.929863762801839,6.385993743973964,4.027136175250234,-1.3027106789612237,-0.0523695801954697,-0.09883571202635721,1.699156623597749,0.5849943839924284,-2.640320900142494,0.0,0.0,0.0,-1.7069390999116272,0.0,0.0,0.0,-6.199029015385804,0.0,0.0,0.0,0.0,0.0,-1.5330378137074756,0.0
14,6.877069825542321,-11.494294680811663,6.942871496365797,6.64049685132909,-0.6203445258881857,-0.07628159355533626,0.20299998476900782,0.15591133466216434,-1.1947711488340929,0.30851554525838765,-1.3517364715096392,0.0,0.0,0.0,-2.41711007995832,0.0,0.0,0.0,-1.3304231929396337,0.0,0.0,0.0,0.0,2.4547538614302766,0.0,0.0
15,0.027947324578387153,0.31640495943368785,0.0,0.0,0.0,-0.14924068513096245,-0.0014789117813052144,0.01332458434073184,-0.07922859059514546,0.0005895106683813844,0.0,0.02659987162208684,0.0,0.0,0.0,0.04560799610014025,0.0,-0.11818764581183434,0.0,0.0,0.0,0.20707846004484054,0.0,0.0,0.0,0.0
16,3.5694426591521733,3.2641908021065547,0.0,0.0,0.0,-2.1486531232972084,-1.052388363344221,0.07916726544465291,0.7607460712347346,0.11036533933406645,0.0,-0.7790760708559219,0.0,0.0,0.0,-0.8029351386858252,0.0,1.0964311574650765,0.0,0.0,0.0,-0.1288471401943525,0.0,0.0,0.0,0.0
17,-22.36830618053318,9.047112749738062,0.0,0.0,0.0,4.814794229309882,1.7275708239822052,-3.603263207423879,0.27836058414436593,-0.022729634213192185,0.0,0.0,0.3502301190565049,0.0,0.0,0.0,-0.14975263642895698,3.896705487102281,0.0,0.0,0.0,0.20225683932153515,0.0,0.0,0.0,0.0
18,-24.92385523910798,7.838209152084801,0.0,0.0,0.0,-8.912607002379218,-1.5998951501114789,9.62093743212449,2.2842719765105812,1.3135791383501783,0.0,0.0,0.0,-1.8424879617441547,8.36276820003377,0.0,0.0,5.089098024798204,0.0,0.0,0.0,1.2463233878338542,0.0,0.0,0.0,0.0
